"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"4","0.054881600","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"6","0.154784400","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"8","0.156195100","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"10","0.178835500","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"11","1.631853300","204.79.197.219","192.168.43.221","32 dBm","32","2437MHz"
"20","3.143421500","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"23","3.145286900","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"24","3.145492500","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"48","3.154031600","203.52.13.204","192.168.43.221","31 dBm","31","2437MHz"
"50","3.154576000","203.52.13.204","192.168.43.221","31 dBm","31","2437MHz"
"52","3.155579900","203.52.13.204","192.168.43.221","31 dBm","31","2437MHz"
"53","3.156104500","203.52.13.204","192.168.43.221","31 dBm","31","2437MHz"
"55","3.156497500","203.52.13.204","192.168.43.221","31 dBm","31","2437MHz"
"63","3.176355400","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"64","3.178934700","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"66","3.182142900","192.168.43.1","192.168.43.221","31 dBm","31","2437MHz"
"68","3.189121600","142.250.76.110","192.168.43.221","33 dBm","33","2437MHz"
"69","3.189522000","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"70","3.190206400","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"72","3.191497300","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"73","3.191858500","142.250.76.110","192.168.43.221","34 dBm","34","2437MHz"
"74","3.193185800","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"75","3.193185800","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"76","3.193185800","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"78","3.193909800","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"80","3.194753300","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"81","3.194753300","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"82","3.194753300","172.217.167.98","192.168.43.221","33 dBm","33","2437MHz"
"84","3.196525000","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"86","3.196687700","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"88","3.198205700","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"89","3.198548800","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"91","3.207819800","20.53.111.214","192.168.43.221","34 dBm","34","2437MHz"
"94","3.208481800","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"95","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"96","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"97","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"98","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"99","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"100","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"101","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"102","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"103","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"104","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"105","3.210304300","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"112","3.211659200","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"113","3.212029100","203.52.13.204","192.168.43.221","34 dBm","34","2437MHz"
"115","3.213767200","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"116","3.215207400","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"118","3.215425200","172.217.24.42","192.168.43.221","33 dBm","33","2437MHz"
"119","3.216667700","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"120","3.216667700","142.250.67.3","192.168.43.221","33 dBm","33","2437MHz"
"121","3.216667700","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"122","3.216667700","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"123","3.216667700","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"126","3.218163400","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"127","3.218755400","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"129","3.220080100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"130","3.220080100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"131","3.220080100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"132","3.220080100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"133","3.220080100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"134","3.220080100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"138","3.224831500","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"139","3.225106300","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"141","3.225912100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"142","3.225912100","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"144","3.228265200","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"145","3.228396300","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"147","3.229327900","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"148","3.229327900","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"150","3.232641200","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"151","3.232840800","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"153","3.233745500","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"154","3.233745500","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"156","3.236496200","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"157","3.236829000","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"159","3.237605600","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"160","3.237605600","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"162","3.239274000","20.53.111.214","192.168.43.221","33 dBm","33","2437MHz"
"163","3.239660100","20.53.111.214","192.168.43.221","33 dBm","33","2437MHz"
"165","3.241977600","20.53.111.214","192.168.43.221","33 dBm","33","2437MHz"
"166","3.241977600","20.53.111.214","192.168.43.221","33 dBm","33","2437MHz"
"167","3.241977600","20.53.111.214","192.168.43.221","33 dBm","33","2437MHz"
"168","3.241977600","20.53.111.214","192.168.43.221","33 dBm","33","2437MHz"
"169","3.241977600","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
"170","3.241977600","203.52.13.204","192.168.43.221","33 dBm","33","2437MHz"
