"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","172.217.167.106","192.168.43.221","33 dBm","33","2437MHz"
"5","0.097048100","172.217.167.106","192.168.43.221","33 dBm","33","2437MHz"
"7","0.097896800","172.217.167.106","192.168.43.221","33 dBm","33","2437MHz"
"9","0.138887800","172.217.167.106","192.168.43.221","33 dBm","33","2437MHz"
"12","0.357331100","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"13","0.361221000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"15","0.480772900","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"16","0.480894400","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"18","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"19","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"20","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"21","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"22","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"23","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"24","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"25","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"26","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"27","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"28","0.483584000","172.217.167.78","192.168.43.221","30 dBm","30","2437MHz"
"32","0.505766900","172.217.167.78","192.168.43.221","31 dBm","31","2437MHz"
"33","0.511805100","142.250.67.4","192.168.43.221","30 dBm","30","2437MHz"
"34","0.512108000","142.250.67.4","192.168.43.221","30 dBm","30","2437MHz"
"36","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"37","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"38","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"39","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"40","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"41","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"42","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"43","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"44","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"45","0.514531400","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"46","0.515194800","142.250.67.4","192.168.43.221","31 dBm","31","2437MHz"
"53","0.566445700","142.250.67.4","192.168.43.221","33 dBm","33","2437MHz"
"55","0.651835900","172.217.167.78","192.168.43.221","35 dBm","35","2437MHz"
"57","0.659694500","172.217.167.78","192.168.43.221","35 dBm","35","2437MHz"
"59","0.679624100","172.217.167.78","192.168.43.221","34 dBm","34","2437MHz"
"62","1.242742900","192.168.43.1","192.168.43.221","35 dBm","35","2437MHz"
"64","1.247032700","172.217.167.78","192.168.43.221","35 dBm","35","2437MHz"
"66","1.265624200","204.79.197.203","192.168.43.221","34 dBm","34","2437MHz"
"69","1.289536300","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"70","1.290868700","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"71","1.291249800","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"73","1.292147200","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"74","1.292147200","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"75","1.292147200","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"78","1.316368500","204.79.197.203","192.168.43.221","33 dBm","33","2437MHz"
"79","1.318246700","204.79.197.203","192.168.43.221","32 dBm","32","2437MHz"
"80","1.319324700","204.79.197.203","192.168.43.221","32 dBm","32","2437MHz"
"85","1.352229300","204.79.197.203","192.168.43.221","31 dBm","31","2437MHz"
"86","1.352294300","204.79.197.203","192.168.43.221","31 dBm","31","2437MHz"
"87","1.354151000","172.217.167.78","192.168.43.221","31 dBm","31","2437MHz"
"89","1.357640500","172.217.167.78","192.168.43.221","31 dBm","31","2437MHz"
"90","1.357640500","172.217.167.78","192.168.43.221","31 dBm","31","2437MHz"
"91","1.357640500","172.217.167.78","192.168.43.221","31 dBm","31","2437MHz"
"92","1.357640500","204.79.197.203","192.168.43.221","31 dBm","31","2437MHz"
