"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","103.1.213.62","192.168.43.221","31 dBm","31","2437MHz"
"6","1.912867000","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"8","1.922566400","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"9","1.922894500","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"11","1.923775600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"12","1.923775600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"13","1.923775600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"15","1.933950400","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"16","1.934103300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"17","1.935458700","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"18","1.935458700","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"19","1.935458700","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"20","1.935458700","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"21","1.936449500","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"23","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"24","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"25","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"26","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"27","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"28","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"29","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"30","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"31","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"32","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"33","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"34","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"35","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"36","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"37","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"38","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"39","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"40","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"41","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"42","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"43","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"44","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"45","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"46","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"47","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"48","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"49","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"50","1.940679200","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"53","1.946023300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"54","1.946175400","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"56","1.947060000","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"57","1.947060000","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"58","1.947060000","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"59","1.949320000","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"60","1.949612300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"62","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"63","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"64","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"65","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"66","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"67","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"68","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"69","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"70","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"71","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"72","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"73","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"74","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"75","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"76","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"77","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"78","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"79","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"80","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"81","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"82","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"83","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"84","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"85","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"86","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"87","1.956364300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"88","1.956852600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"89","1.956852600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"90","1.956852600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"91","1.956852600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"92","1.956852600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"93","1.956852600","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"97","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"98","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"99","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"100","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"101","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"102","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"103","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"104","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"105","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"106","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"107","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"108","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"109","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"110","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
"111","1.957844300","203.52.13.206","192.168.43.221","31 dBm","31","2437MHz"
