"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","172.217.167.74","192.168.43.221","35 dBm","35","2437MHz"
"4","0.000182400","172.217.167.74","192.168.43.221","35 dBm","35","2437MHz"
"7","0.041537500","172.217.167.74","192.168.43.221","35 dBm","35","2437MHz"
"10","0.308352300","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"11","0.311205800","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"13","0.418333200","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"15","0.418731700","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"16","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"17","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"18","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"19","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"20","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"21","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"22","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"23","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"24","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"25","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"26","0.420636200","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"29","0.440908600","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"31","0.542878800","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"32","0.542878800","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"35","0.568182300","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"37","0.928216900","142.250.76.110","192.168.43.221","36 dBm","36","2437MHz"
"39","1.042488500","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"40","1.042689100","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"42","1.043189800","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"43","1.043189800","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"45","1.066990200","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"51","1.846161300","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"52","1.848664500","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"54","2.008391200","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"56","2.009875200","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"57","2.010080000","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"58","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"59","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"60","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"61","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"62","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"63","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"64","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"65","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"66","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"67","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"68","2.014399900","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"71","2.016020100","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"72","2.016838500","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"73","2.016838500","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"74","2.017623300","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"75","2.017623300","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"76","2.018747400","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"78","2.039379700","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"81","2.095199000","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
"82","2.099805300","142.250.76.110","192.168.43.221","35 dBm","35","2437MHz"
