"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"9","0.070262100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"11","0.146629500","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"12","0.147002200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"15","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"16","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"17","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"18","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"19","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"20","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"21","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"22","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"23","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"24","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"25","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"26","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"27","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"28","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"29","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"30","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"31","0.149822700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"41","0.151049500","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"42","0.151343700","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"44","0.152922100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"45","0.152922100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"46","0.152922100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"49","0.155685300","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"50","0.155876000","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"52","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"53","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"54","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"55","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"56","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"57","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"58","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"59","0.157517200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"64","0.173602600","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"65","0.173602600","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"68","0.174454600","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"69","0.183330100","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"70","0.198760800","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"72","0.448668100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"73","0.455966400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"75","0.456326700","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"76","0.457476400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"78","0.458290800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"79","0.458290800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"80","0.458290800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"82","0.468971100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"83","0.468971100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"85","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"86","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"87","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"88","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"89","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"90","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"91","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"92","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"93","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"94","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"95","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"96","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"97","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"98","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"99","0.470984400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"108","0.486468400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"109","0.486736300","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"111","0.488417300","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"112","0.488854600","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"114","0.489849500","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"115","0.489849500","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"117","0.491014500","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"118","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"119","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"120","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"121","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"122","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"123","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"124","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"125","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"126","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"127","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"128","0.494630200","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"129","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"130","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"131","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"132","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"133","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"134","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"135","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"136","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"137","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"138","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"139","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"140","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"141","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"142","0.494774900","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"152","0.495587900","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"157","0.498873800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"158","0.498873800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"159","0.498873800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"160","0.498873800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"161","0.498873800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"163","0.501937700","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"164","0.502636900","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"165","0.503460800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"166","0.503460800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"167","0.503460800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"168","0.503460800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"169","0.503460800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"172","0.513805800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"173","0.513805800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"174","0.513805800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"175","0.514362100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"176","0.518286700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"177","0.518286700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"178","0.518286700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
