"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"4","0.087890400","23.48.250.40","192.168.43.221","26 dBm","26","2437MHz"
"5","1.584279400","66.203.112.13","192.168.43.221","24 dBm","24","2437MHz"
"10","2.503422400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"12","2.565052000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"13","2.571034400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"14","2.571299400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"17","2.572654100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"18","2.573221400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"20","2.573689000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"21","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"22","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"23","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"24","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"25","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"26","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"27","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"28","2.575297900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"33","2.576785800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"35","2.577175700","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"36","2.578294600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"37","2.578294600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"38","2.578294600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"39","2.578294600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"42","2.583620900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"44","2.584137900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"45","2.585464300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"46","2.585464300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"47","2.585464300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"50","2.586962000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"51","2.587082400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"53","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"54","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"55","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"56","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"57","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"58","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"59","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"60","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"61","2.590023600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"64","2.590657200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"65","2.590657200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"66","2.590657200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"67","2.590657200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"68","2.590657200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"74","2.596532200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"75","2.601525100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"76","2.601686800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"78","2.602057400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"79","2.603643700","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"81","2.604295800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"82","2.606270600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"84","2.607720600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"85","2.608834200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"86","2.609001100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"88","2.611345700","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"90","2.611712600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"91","2.612660900","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"93","2.613479500","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"94","2.613479500","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"95","2.613479500","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"97","2.615337000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"99","2.615526200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"100","2.616826100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"101","2.616826100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"102","2.616826100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"103","2.616826100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"104","2.616826100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"105","2.616826100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"109","2.626630800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"111","2.626937300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"112","2.627814800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"113","2.627814800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"115","2.629660500","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"117","2.629958400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"118","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"119","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"120","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"121","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"122","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"123","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"124","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"125","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"126","2.631757000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"134","2.704564800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"135","2.713892200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"136","2.713892200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"139","2.715666200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"140","2.715666200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"141","2.715666200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"142","2.715666200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"143","2.715666200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"144","2.715666200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"148","2.721358100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"150","2.724402800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"151","2.724402800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"152","2.724402800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"153","2.724402800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"154","2.724402800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"155","2.724402800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"159","2.725825100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"160","2.725825100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"162","2.733322200","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"164","2.735070400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"165","2.735166600","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"167","2.736892300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"168","2.736892300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"169","2.736892300","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"170","2.741296700","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"173","2.776185500","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"174","2.790091400","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"176","2.883399300","142.250.204.22","192.168.43.221","24 dBm","24","2437MHz"
"177","2.883653000","142.250.204.22","192.168.43.221","24 dBm","24","2437MHz"
"179","2.884787500","142.250.204.22","192.168.43.221","24 dBm","24","2437MHz"
"181","2.926516200","142.250.204.22","192.168.43.221","24 dBm","24","2437MHz"
"183","3.206246100","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"184","3.207966800","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"186","3.208272700","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"187","3.209401000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"188","3.209401000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
"189","3.209401000","142.250.204.22","192.168.43.221","23 dBm","23","2437MHz"
