"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","103.1.213.62","192.168.43.221","31 dBm","31","2437MHz"
"6","3.493075700","142.250.76.110","192.168.43.221","30 dBm","30","2437MHz"
"8","3.601030500","142.250.76.110","192.168.43.221","30 dBm","30","2437MHz"
"10","3.602626200","142.250.76.110","192.168.43.221","30 dBm","30","2437MHz"
"12","3.622115400","142.250.76.110","192.168.43.221","30 dBm","30","2437MHz"
"16","4.507627200","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"18","4.564673100","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"19","4.574605300","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"21","4.576765600","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"23","4.577166500","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"24","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"25","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"26","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"27","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"28","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"29","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"30","4.578333400","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"35","4.593461400","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"36","4.602910600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"40","4.865748300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"41","4.866697200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"42","4.866697200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"43","4.866697200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"46","4.868008600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"47","4.868608900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"49","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"50","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"51","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"52","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"53","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"54","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"55","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"56","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"57","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"58","4.870436700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"64","4.872026200","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"65","4.872381200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"67","4.874108000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"68","4.874108000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"69","4.874108000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"70","4.874108000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"73","4.875439200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"74","4.876297800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"76","4.876568000","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"77","4.876568000","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"81","4.883851600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"82","4.884257500","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"84","4.886026000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"85","4.886026000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"87","4.886466300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"88","4.886875300","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"90","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"91","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"92","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"93","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"94","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"95","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"96","4.888565600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"100","4.889717000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"101","4.889717000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"102","4.889717000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"105","4.893095300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"106","4.893306700","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"108","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"109","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"110","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"111","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"112","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"113","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"114","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"115","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"116","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"117","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"118","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"119","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"120","4.895919900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"121","4.896184600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"128","4.897525400","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"130","4.903809000","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"131","4.905856800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"133","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"134","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"135","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"136","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"137","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"138","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"139","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"140","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"141","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"142","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"143","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"144","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"145","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"146","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"147","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"148","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"149","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"150","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"151","4.908304300","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"164","4.910550800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"165","4.910550800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"166","4.910550800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"168","4.912800600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"170","4.913114800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"171","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"172","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"173","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"174","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"175","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"176","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"177","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"178","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"179","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"180","4.914959100","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"183","4.916746800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"184","4.917714900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"185","4.917714900","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"187","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"188","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"189","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"190","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"191","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"192","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"193","4.920016600","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"194","4.920923000","142.250.204.22","192.168.43.221","31 dBm","31","2437MHz"
"195","4.921390800","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"196","4.923407200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"197","4.923407200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
"198","4.923407200","142.250.204.22","192.168.43.221","30 dBm","30","2437MHz"
