"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"6","0.068231000","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"7","0.133861200","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"9","0.134420900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"10","0.134546800","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"12","0.136014000","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"13","0.156418400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"15","0.449917100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"17","0.451562300","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"18","0.451853000","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"20","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"21","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"22","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"23","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"24","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"25","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"26","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"27","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"28","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"29","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"30","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"31","0.458791700","142.250.66.214","192.168.43.221","26 dBm","26","2437MHz"
"38","0.473877400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"41","0.878773500","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"42","0.879910700","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"43","0.880369500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"45","0.881825400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"46","0.881825400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"47","0.881825400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
