"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"4","0.035460300","23.54.30.129","192.168.43.221","34 dBm","34","2437MHz"
"5","0.036040700","23.54.30.129","192.168.43.221","34 dBm","34","2437MHz"
"7","0.036697200","23.54.30.129","192.168.43.221","35 dBm","35","2437MHz"
"9","0.043800900","35.186.224.25","192.168.43.221","35 dBm","35","2437MHz"
"10","0.192278100","35.186.224.25","192.168.43.221","34 dBm","34","2437MHz"
"11","0.192521100","35.186.224.25","192.168.43.221","34 dBm","34","2437MHz"
"17","0.317465200","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"18","0.321471400","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"20","0.468900500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"21","0.469085900","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"23","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"24","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"25","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"26","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"27","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"28","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"29","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"30","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"31","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"32","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"33","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"34","0.471824500","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"35","0.472088800","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"36","0.472088800","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
"37","0.472088800","142.250.204.14","192.168.43.221","34 dBm","34","2437MHz"
