"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"4","0.038727500","66.203.112.13","192.168.43.221","30 dBm","30","2437MHz"
"6","0.039354600","172.217.24.35","192.168.43.221","30 dBm","30","2437MHz"
"8","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"9","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"10","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"11","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"12","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"13","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"14","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"15","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"16","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"17","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"18","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"19","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"20","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"21","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"22","2.402391800","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"25","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"26","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"27","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"28","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"29","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"30","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"31","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"32","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"33","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"34","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"35","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"36","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"37","2.403772400","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"39","2.405864700","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"40","2.408904600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"42","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"43","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"44","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"45","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"46","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"47","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"48","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"49","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"50","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"51","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"52","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"53","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"54","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"55","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"56","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"57","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"58","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"59","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"60","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"61","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"62","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"63","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"64","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"65","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"66","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"67","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"68","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"69","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"70","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"71","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"72","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"73","2.419490600","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"74","2.419772200","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"75","2.419772200","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"76","2.419772200","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"77","2.419772200","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"78","2.419772200","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"79","2.419772200","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"84","2.425674100","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"85","2.425859700","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"87","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"88","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"89","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"90","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"91","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"92","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"93","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"94","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"95","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"96","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"97","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"98","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"99","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"100","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"101","2.430365900","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"103","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"104","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"105","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"106","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"107","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"108","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"109","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"110","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"111","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"112","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"113","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"114","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"115","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"116","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"117","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"118","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"119","2.431275500","203.43.100.140","192.168.43.221","31 dBm","31","2437MHz"
"120","2.431447600","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"121","2.431447600","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"122","2.431447600","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"123","2.431447600","203.43.100.140","192.168.43.221","30 dBm","30","2437MHz"
"128","3.550599700","142.250.204.2","192.168.43.221","30 dBm","30","2437MHz"
"130","4.788299300","23.48.250.40","192.168.43.221","29 dBm","29","2437MHz"
"133","10.418442500","66.203.112.13","192.168.43.221","28 dBm","28","2437MHz"
"136","14.268404300","142.250.204.1","192.168.43.221","28 dBm","28","2437MHz"
"138","14.808627400","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"140","14.912334100","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"141","14.912579800","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"144","14.934694700","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"147","16.070973000","104.116.120.206","192.168.43.221","28 dBm","28","2437MHz"
"148","20.659555300","66.203.112.13","192.168.43.221","28 dBm","28","2437MHz"
"151","23.717485900","142.250.204.14","192.168.43.221","27 dBm","27","2437MHz"
"153","23.818290200","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"154","23.818290200","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"157","23.846150400","142.250.204.14","192.168.43.221","28 dBm","28","2437MHz"
"159","27.447034900","20.37.241.241","192.168.43.221","27 dBm","27","2437MHz"
"171","30.887233000","66.203.112.13","192.168.43.221","27 dBm","27","2437MHz"
"173","30.911263400","142.250.204.14","192.168.43.221","27 dBm","27","2437MHz"
"176","30.915048800","142.250.204.14","192.168.43.221","27 dBm","27","2437MHz"
"177","30.915048800","142.250.204.14","192.168.43.221","27 dBm","27","2437MHz"
"180","30.934894200","192.168.43.1","192.168.43.221","27 dBm","27","2437MHz"
"184","30.939826700","192.168.43.1","192.168.43.221","27 dBm","27","2437MHz"
"186","30.974437400","203.43.100.141","192.168.43.221","27 dBm","27","2437MHz"
"187","30.974824900","203.43.100.141","192.168.43.221","27 dBm","27","2437MHz"
"189","30.975769900","203.43.100.141","192.168.43.221","27 dBm","27","2437MHz"
"190","30.975769900","203.43.100.141","192.168.43.221","27 dBm","27","2437MHz"
"191","30.975769900","203.43.100.141","192.168.43.221","27 dBm","27","2437MHz"
"202","30.992245900","142.250.204.22","192.168.43.221","27 dBm","27","2437MHz"
"203","31.011351100","142.250.204.2","192.168.43.221","27 dBm","27","2437MHz"
"205","31.011869600","142.250.204.1","192.168.43.221","27 dBm","27","2437MHz"
"207","31.012980900","142.250.204.14","192.168.43.221","27 dBm","27","2437MHz"
"208","31.012980900","142.250.204.14","192.168.43.221","27 dBm","27","2437MHz"
