"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","103.1.213.62","192.168.43.221","29 dBm","29","2437MHz"
"15","1.214458000","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"18","1.229650500","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"20","1.231042500","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"21","1.231659300","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"23","1.232918900","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"24","1.233313400","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"25","1.234073700","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"26","1.234073700","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"28","1.241984500","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"30","1.255665000","142.250.67.3","192.168.43.221","32 dBm","32","2437MHz"
"32","1.263162400","172.217.24.42","192.168.43.221","32 dBm","32","2437MHz"
"34","1.276862500","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"39","1.315085500","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"40","1.315320700","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"42","1.316289000","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"43","1.317326000","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"45","1.317866100","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"46","1.318449700","13.77.61.52","192.168.43.221","32 dBm","32","2437MHz"
"49","1.327698100","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"51","1.329199900","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"52","1.332261700","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"54","1.333219900","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"56","1.341763700","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"58","1.342168800","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
"60","1.348418800","142.250.67.3","192.168.43.221","32 dBm","32","2437MHz"
"61","1.348725500","142.250.67.3","192.168.43.221","32 dBm","32","2437MHz"
"63","1.349464700","142.250.67.3","192.168.43.221","32 dBm","32","2437MHz"
"64","1.349464700","142.250.67.3","192.168.43.221","32 dBm","32","2437MHz"
"66","1.357013000","172.217.24.42","192.168.43.221","32 dBm","32","2437MHz"
"67","1.357384700","172.217.24.42","192.168.43.221","33 dBm","33","2437MHz"
"68","1.357834800","172.217.24.42","192.168.43.221","32 dBm","32","2437MHz"
"69","1.357834800","172.217.24.42","192.168.43.221","32 dBm","32","2437MHz"
"71","1.358666800","142.250.76.110","192.168.43.221","32 dBm","32","2437MHz"
