"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"4","0.038163600","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"6","0.135828000","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"8","0.137226900","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"10","0.156046200","142.250.76.110","192.168.43.221","31 dBm","31","2437MHz"
"13","2.959808100","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"18","2.963081400","192.168.43.1","192.168.43.221","32 dBm","32","2437MHz"
"21","3.013337500","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"22","3.080186200","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"24","3.082422000","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"25","3.082422000","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"27","3.083582900","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"29","3.084031600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"30","3.085087300","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"32","3.085592600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"33","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"34","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"35","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"36","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"37","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"38","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"39","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"40","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"41","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"42","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"43","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"44","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"45","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"46","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"47","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"48","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"49","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"50","3.091296600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"61","3.101439600","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"62","3.102870800","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"63","3.120121200","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"65","3.179840100","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"67","3.180820900","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"68","3.181077900","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"70","3.183100300","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"71","3.183227100","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"73","3.184280800","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"74","3.184280800","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"75","3.184280800","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"76","3.184280800","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
"79","3.221686200","142.250.66.214","192.168.43.221","32 dBm","32","2437MHz"
