"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","23.54.30.129","192.168.43.221","31 dBm","31","2437MHz"
"4","0.000251400","23.54.30.129","192.168.43.221","31 dBm","31","2437MHz"
"7","0.001293400","23.54.30.129","192.168.43.221","31 dBm","31","2437MHz"
"9","0.021052100","23.54.30.129","192.168.43.221","31 dBm","31","2437MHz"
"11","0.303772100","66.203.112.13","192.168.43.221","31 dBm","31","2437MHz"
"12","0.350859400","23.48.251.49","192.168.43.221","30 dBm","30","2437MHz"
"14","0.352001900","23.48.251.49","192.168.43.221","30 dBm","30","2437MHz"
"16","0.372008400","23.48.251.49","192.168.43.221","30 dBm","30","2437MHz"
"17","0.960197500","23.54.30.129","192.168.43.221","30 dBm","30","2437MHz"
"18","0.960317900","23.54.30.129","192.168.43.221","30 dBm","30","2437MHz"
"22","1.291281900","23.54.30.129","192.168.43.221","31 dBm","31","2437MHz"
"26","2.125754100","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"28","2.198202300","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"29","2.198202300","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"30","2.198838400","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"31","2.198838400","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"32","2.198838400","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"35","2.221777500","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"37","2.289354500","142.250.66.214","192.168.43.221","31 dBm","31","2437MHz"
"39","2.289763000","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"40","2.290846400","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"41","2.290846400","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"42","2.290846400","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"43","2.290846400","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"46","2.311488400","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"51","3.147051800","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"53","3.213294900","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"54","3.213586700","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"57","3.214249300","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"58","3.214249300","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"59","3.220070300","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"61","3.242072400","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"63","3.361915100","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"65","3.364898600","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"67","3.392034900","142.250.66.226","192.168.43.221","30 dBm","30","2437MHz"
"74","4.649574300","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"77","4.651158800","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"80","4.668133900","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"86","4.695271800","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"87","4.696384500","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"92","4.711614400","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"95","4.722068300","203.52.13.206","192.168.43.221","30 dBm","30","2437MHz"
"96","4.722068300","203.52.13.206","192.168.43.221","30 dBm","30","2437MHz"
"98","4.723091700","203.52.13.206","192.168.43.221","30 dBm","30","2437MHz"
"99","4.723091700","203.52.13.206","192.168.43.221","30 dBm","30","2437MHz"
"100","4.723091700","203.52.13.206","192.168.43.221","30 dBm","30","2437MHz"
"101","4.723293600","142.250.204.14","192.168.43.221","30 dBm","30","2437MHz"
"107","4.731082600","192.168.43.1","192.168.43.221","30 dBm","30","2437MHz"
"108","4.732897300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"110","4.734227000","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"111","4.734227000","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"114","4.735632500","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"115","4.735632500","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"116","4.735632500","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"118","4.744609200","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"119","4.744609200","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"121","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"122","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"123","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"124","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"125","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"126","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"127","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"128","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"129","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"130","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"131","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"132","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"133","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"134","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"135","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"136","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
"137","4.745473300","142.250.66.214","192.168.43.221","30 dBm","30","2437MHz"
