"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"124","1.854573100","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"125","1.854573100","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"129","1.877623100","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"131","2.639405800","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"133","2.669307200","103.1.213.62","192.168.43.221","28 dBm","28","2437MHz"
"135","2.736998800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"136","2.736998800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"138","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"139","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"140","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"141","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"142","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"143","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"144","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"145","2.737679800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"150","2.738731000","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"152","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"153","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"154","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"155","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"156","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"157","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"158","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"159","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"160","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"161","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"162","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"163","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"164","2.742051900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"171","2.748824200","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"172","2.750463700","142.250.66.214","192.168.43.221","29 dBm","29","2437MHz"
"173","2.752990000","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"174","2.754156800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"175","2.754156800","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"176","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"177","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"178","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"179","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"180","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"181","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"182","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"183","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"184","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"185","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"186","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"187","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"188","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"189","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"190","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"191","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"192","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"193","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"194","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"195","2.755034100","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"199","2.782560400","142.250.66.214","192.168.43.221","28 dBm","28","2437MHz"
"201","2.972531300","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"203","3.006806400","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"204","3.007053900","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"207","3.017041600","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"208","3.017041600","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"209","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"210","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"211","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"212","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"213","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"214","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"215","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"216","3.020395200","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"218","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"219","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"220","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"221","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"222","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"223","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"224","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"225","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"226","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"227","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"228","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"229","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"230","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"231","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"232","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"233","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"234","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"235","3.022414800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"238","3.024737400","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"239","3.025412000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"241","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"242","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"243","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"244","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"245","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"246","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"247","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"248","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"249","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"250","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"251","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"252","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"253","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"254","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"255","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"256","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"257","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"258","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"259","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"260","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"261","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"262","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"263","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"264","3.029306200","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"268","3.046611500","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"270","3.069695800","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"272","3.071547300","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"273","3.071547300","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"274","3.071752700","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"276","3.080976000","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"277","3.080976000","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"278","3.080976000","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"279","3.080976000","203.43.100.205","192.168.43.221","27 dBm","27","2437MHz"
"280","3.082485800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"281","3.082485800","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"282","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"283","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"284","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"285","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"286","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"287","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"288","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"289","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"290","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"291","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"292","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"293","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"294","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"295","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"296","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"297","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"298","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"299","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"300","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
"301","3.085511000","203.43.100.205","192.168.43.221","28 dBm","28","2437MHz"
