"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","66.203.112.13","192.168.43.221","22 dBm","22","2437MHz"
"6","0.308991200","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"7","0.308991200","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"9","0.310826300","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"10","0.310826300","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"11","0.310826300","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"12","0.310826300","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"13","0.310826300","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"14","0.310826300","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"16","0.319090400","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"17","0.319420700","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"18","0.321252700","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"19","0.321252700","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"20","0.321252700","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"21","0.321252700","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"22","0.321717100","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"24","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"25","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"26","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"27","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"28","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"29","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"30","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"31","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"32","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
"33","0.325728900","203.43.100.204","192.168.43.221","22 dBm","22","2437MHz"
