"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"6","0.030497800","103.1.213.62","192.168.43.221","33 dBm","33","2437MHz"
"10","0.065359400","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"13","0.132669200","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"15","0.134606800","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"17","0.134922900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"18","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"19","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"20","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"21","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"22","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"23","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"24","0.136510700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"29","0.138898200","172.217.24.54","192.168.43.221","35 dBm","35","2437MHz"
"30","0.139221800","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"32","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"33","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"34","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"35","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"36","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"37","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"38","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"39","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"40","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"41","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"42","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"43","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"44","0.141187900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"45","0.141766900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"53","0.143748300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"54","0.143748300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"55","0.143748300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"56","0.143748300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"57","0.143748300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"58","0.143748300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"62","0.162423700","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"63","0.162681300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"64","0.169379500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"68","0.459739400","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"69","0.462632500","172.217.24.54","192.168.43.221","35 dBm","35","2437MHz"
"70","0.462813500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"72","0.464044500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"73","0.464044500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"74","0.464044500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"75","0.464044500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"76","0.464044500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"80","0.470256900","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"81","0.472190000","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"83","0.473503100","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"84","0.473770200","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"86","0.475421300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"87","0.475703500","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"89","0.476372400","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"91","0.500712300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"94","0.828573500","172.217.24.54","192.168.43.221","28 dBm","28","2437MHz"
"95","0.830629800","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"96","0.830902200","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"98","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"99","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"100","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"101","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"102","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"103","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
"104","0.833558300","172.217.24.54","192.168.43.221","33 dBm","33","2437MHz"
